codigo_estructura,potencia,tipo,potencia2,porcentaje_perdida,doblenivel,descripcion_larga,desc_nemot,perdidas_w,perdidas2_w
TRS0032,180,C,0,0,,Transformador 6 kV 3F conv. 180 kVA en poste,TRS-3C180,,
ESR0068,,,0,0,,Est. 34.5 kV 3F Semi Centrada Angular deriv. 1F Centrada Retención,ESR-3SA+1CR,,
POO8701,,,0,0,,Poste Hormigón armado Circular de 19m carga de rotura 350kg,PO0-0HC19_350,,
APO0438,400,C,0,12,,Proy. 240 V Hg 400 W en poste con red aerea hilo piloto pot. cte. C,APD-0PPCM400PC,48,
ESV0067,,,0,0,,Est. 22 kV 3F Semi Centrada Retención deriv. 3F Semi Centrada Retención,ESV-3SR+3SR,,
APO0218,175,C,0,12,C,Lum. 240 V Hg175 W en fachada con red preen hilo piloto pot. cte. C,APD-0FLCM175PC,21,
TRR0115,55,C,0,0,,Banco de 3 transformadores 34.5 kV monofásicos 55 KVA en poste,TRR-3N55,,
COO0281,,,0,0,,Multiconductor Cu 2X4,CO0-0N2X4,,
SDD0148,5.04,,,,,SGDA 220V 2F Fotovoltaica de 5.04kW,SDD-2F5.04,,
TRR0069,5,C,0,0,,Transformador 34.5 kV 1F conv. 5 kVA en cámara,TRR-1O5,,
EST0063,,,0,0,,Est. 13 kV 3F Line Poste Pasante,EST-3LP,,
TRT0358,850,C,0,0,,Transformador 13 kV 3F conv. 850 kVA en cámara,TRT-3O850,,
SDD0251,24.08,,,,,SGDA 220V 3F Fotovoltaica de 24.08kW,SDD-3F24.08,,
TRR0360,50,C,0,0,,Banco de 2 transformadores en paralelo 34.5 kV monofásicos 50 KVA en poste,TRR-1B50,,
EST0136,,,0,0,,Est. 13 kV 2F Semiaislado o Ecologico Angular,EST-2MA,,
TRT0424,87.5,C,0,0,,Banco de 2 transformadores en paralelo 13 kV monofásicos 87.5 KVA en cámara,TRT-1V87.5,,
POO1512,,,0,0,,Poste Hormigón armado Circular de 11.5m carga de rotura 2000kg,PO0-0HC11.5_2000,,
AOD0053,50,C,0,16,C,Lum. 240 V Ornamental Na 50 W en poste Autocont. pot. cte.,AOD-0PLS50AC,8,
TRR0405,175,C,0,0,,Banco de 2 transformadores en paralelo 34.5 kV monofásicos 175 KVA en cámara,TRR-1V175,,
TRV0005,25,C,0,0,,Transformador 22 kV 1F conv. 25 kVA en poste,TRV-1C25,,
COO0246,,,0,0,,CONDUCTOR AAAC 6201 #397.5 MCM,CO0-0D397.5,,
ECR0055,400,A,0,0,,Capacitor automático 34.5kV 3F 400kVAR,ECR-3A400,,
SDT0315,500,,,,,"SGDA 13,8kV 3F Fotovoltaica de 500kW",SDT-3F500,,
ECS0054,600,C,0,0,,Capacitor fijo 6kV 3F 600kVAR,ECS-3C600,,
SPO0013,,,0,0,,Secc. 1F con conector de compresión 3/0 a 4/0 ACSR,SPO-1CB,,
ECS0040,300,E,0,0,,Regulador de voltaje bobina múltiple 6kV 3F 300 kVA ctrl electrónico,ECS-3EE300,,
SPV0002,,,0,0,,Secc. 22kV 1F con seccionador fus. unipolar ab. 200A,SPV-1S200,,
TOO0003,,,0,0,,Torre Metálica de 26 m,TO0-0ET26,,
COO0121,,,0,0,,Conductor Clase 25kV Al 4 AWG,CO0-0E4,,
TRV0376,60,C,0,0,,Transformador 22 kV 1F conv. 60 kVA en poste,TRV-1C60,,
SPO0053,,,0,0,,Secc. 3F con grapa derivación en caliente 8 a 2/0 - 8 A 1/0 ACSR,SPO-3GA,,
TRT0299,250,C,0,0,,Banco de 3 transformadores 13 kV monofásicos 250 KVA en poste,TRT-3N250,,
TRT0069,5,C,0,0,,Transformador 13 kV 1F conv. 5 kVA en cámara,TRT-1O5,,
POO1009,,,0,0,,Poste Hormigón armado Circular de 11m carga de rotura 1000kg,PO0-0HC11_1000,,
POO10600,,,0,0,,Poste Madera Circular de 19m,PO0-0MC19,,
COO0356,,,0,0,,Conductor Semiaislado o Ecológico Clase 25kV Al 795 MCM,CO0-0H795,,
TRT0471,192.5,C,0,0,,Transformador 13 kV 3F Pedestal o Padmounted 192.5KVA,TRT-3P192.5,,
AOD0133,125,C,0,13,C,Proy. 240 V Ornamental Hg 125 W en piso Autocont. pot. cte.,AOD-0IPM125AC,16.25,
MED0040,,,0,0,,Medidor 240V 2F3H - Masivo Electrónico. Energía Activa - 100 A_ Forma 13A,MED-2E100_13A,,
TRT0426,100,C,0,0,,Banco de 2 transformadores en paralelo 13 kV monofásicos 100 KVA en cámara,TRT-1V100,,
APO0609,100,D,70,15,S,Lum. 240 V Na 100 W en poste con red preen Autocont. Dob.niv.pot C,APD-0OLCS100AD,15,11.2
TRV0414,450,C,0,0,,Banco de 3 transformadores 22 kV monofásicos 450 KVA en poste,TRV-3N450,,
TUS0043,75,C,0,0,,Transformador  6kV 3F seco 75 kVA,TUS-3D75,,
POO2308,,,0,0,,Poste Hormigón armado Circular de 14m carga de rotura 800kg,PO0-0HC14_800,,
TRT0485,916,C,0,0,,Banco de 3 transformadores 13 kV monofásicos 916 KVA en cámara (333KVA-333KVA-250KVA),TRT-3I916,0,0
ECV0016,300,M,0,0,,Regulador de voltaje bobina fija 22kV 1F 300 kVA ctrl manual,ECV-1RM300,,
ESS0098,,,0,0,,Est. 6 kV 3F Centrada Retención deriv. 3F Semicentrada Retención,ESS-3CR+3SR,,
EST0088,,,0,0,,Est. 13 kV 3F Dos Postes Angular,EST-3HA,,
COO0094,,,0,0,,Conductor Concéntrico Al 4x4,CO0-0X4x4,,
SSD0036,,,0,0,,"Secc. red subt. 220V 2F, Transición, inst. de bornes del transformador",SSD-2RB,,
ESV0062,,,0,0,,Est. 22 kV 3F Semi Centrada Pasante deriv. 3F Semi Centrada Retención,ESV-3SP+3SR,,
ECT0021,50,M,0,0,,Regulador de voltaje bobina fija 13kV 3F 50 kVA ctrl manual,ECT-3RM50,,
TRT0279,315,C,0,0,,Transformador 13 kV 3F Pedestal o Padmounted 315KVA,TRT-3P315,,
ECS0069,100,A,0,0,,Capacitor automático 6kV 2F 100kVAR,ECS-2A100,,
TRR0067,4500,C,0,0,,Transformador 34.5 kV 3F Pedestal o Padmounted 4500KVA,TRR-3P4500,,
ESS0074,,,0,0,,Est. 6 kV 3F Semicen. Doble Retenc. deriv. 3F Semi Centr. Retenc.,ESS-3SD+3SR,,
POO6524,,,0,0,,Poste Hormigón armado rectangular de 7m carga de rotura 300kg,PO0-0HR7_300,,
SSS0048,,,0,0,,Secc. red subt. 6 kV 3F con fusible 3 A,SSS-3F3,,
SDD0104,17,,,,,SGDA 240V 1F Fotovoltaica de 17kW,SDD-1F17,,
